"","x","y","Fir","Maple","Buckeye","Other.hardwood","Alder","Birch","Ironwood","Hickory","Hackberry","Cedar.juniper","Dogwood","Beech","Ash","Walnut","Tamarack","Tulip.poplar","Spruce","Pine","Sycamore","Poplar","Cherry","Oak","Willow","Basswood","Hemlock","Elm"
"28",101000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"29",109000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.579926164977,NA,NA,NA,NA,NA,NA
"30",117000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"31",13000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,81.7899630824886,NA,29.7418047572686,NA,NA,NA,14.8709023786343
"32",21000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.967219029074,NA,NA,NA,NA,NA,NA
"33",29000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"34",45000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"35",77000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.14447497566,NA,NA,NA,NA,NA,NA
"36",125000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"37",133000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.805340436783,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA
"38",141000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",149000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.531767839757,NA,NA,NA,NA,NA,NA
"40",-19000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343
"41",21000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,118.967219029074,NA,14.8709023786343,NA,NA,NA,NA
"42",45000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"43",61000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,14.8709023786343
"44",69000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"45",85000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,66.9190607038544,NA,118.967219029074,NA,NA
"46",109000,1430000,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",125000,1430000,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,237.934438058149,NA,79.3114793527163,NA,NA,NA,NA,NA,NA
"48",133000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,282.547145194052,NA,NA,NA,NA,NA,NA
"49",141000,1430000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,223.063535679515,NA,NA,NA,NA,156.14447497566,NA,NA,NA,NA,NA,NA
"50",149000,1430000,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.321730922246,NA,NA,NA,NA,NA,NA
"51",21000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"52",37000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",45000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.321730922246,NA,74.3545118931715,NA,NA,NA,NA
"54",53000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,74.3545118931715,NA,NA,NA,NA
"55",77000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,14.8709023786343,NA,NA,NA,NA
"56",85000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.063535679515,NA,29.7418047572686,NA,NA,NA,NA
"57",93000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.19263330088,NA,14.8709023786343,NA,NA,NA,NA
"58",101000,1422000,89.2254142718058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,171.015377354294,NA,NA,NA,NA,NA,NA
"59",109000,1422000,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,356.901657087223,NA,37.1772559465857,NA,NA,NA,NA,NA,NA
"60",117000,1422000,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,14.8709023786343,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"61",125000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.450828543612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",133000,1422000,74.3545118931715,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,59.4836095145372,327.159852329955,NA,171.015377354294,NA,NA,NA,NA,NA,NA
"63",141000,1422000,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.772559465858,NA,171.015377354294,NA,NA,NA,NA,NA,NA
"64",149000,1422000,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,133.838121407709,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"65",21000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"66",29000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.838121407709,NA,NA,NA,NA,NA,NA
"67",37000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,14.8709023786343,NA,NA,NA,NA
"68",45000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"69",69000,1414000,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,NA
"70",77000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"71",93000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"72",101000,1414000,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,29.7418047572686,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA
"73",109000,1414000,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.579926164977,NA,237.934438058149,NA,NA,NA,NA,NA,NA
"74",117000,1414000,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,59.4836095145372,NA,29.7418047572686,NA,44.6127071359029,29.7418047572686,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"75",125000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.579926164977,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"76",133000,1414000,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,37.1772559465857,NA,104.09631665044,104.09631665044,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"77",141000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,312.28894995132,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"78",149000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,171.015377354294,NA,NA,NA,NA,NA,NA
"79",157000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"80",165000,1414000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"81",29000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"82",37000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,118.967219029074,NA,NA,NA,NA
"83",45000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.440576974082,NA,14.8709023786343,NA,NA,NA,NA
"84",53000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",61000,1406000,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,14.8709023786343,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"86",69000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.450828543612,NA,NA,NA,NA,NA,NA
"87",77000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.709023786343,NA,NA,NA,NA,NA,NA
"88",85000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"89",93000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,148.709023786343,NA,NA,NA
"90",101000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"91",109000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,44.6127071359029,446.127071359029,NA,208.19263330088,NA,NA,NA,NA,NA,NA
"92",117000,1406000,44.6127071359029,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,64.440576974082,148.709023786343,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"93",125000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.063535679515,NA,NA,NA,NA,29.7418047572686,NA,14.8709023786343,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"94",133000,1406000,34.6987722168134,NA,NA,NA,NA,24.7848372977238,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,14.8709023786343,NA,34.6987722168134,386.643461844492,NA,NA,NA,NA,NA,NA,NA,NA
"95",141000,1406000,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,133.838121407709,NA,81.7899630824886,NA,NA,NA,NA,NA,NA
"96",149000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5696745954477,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"97",157000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.531767839757,NA,44.6127071359029,NA,NA,163.579926164977,NA,NA,NA,NA,NA,NA
"98",165000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"99",173000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.967219029074,NA,NA,NA,NA,NA,NA
"100",181000,1406000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"101",189000,1406000,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.805340436783,NA,NA,NA,29.7418047572686,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"102",21000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,NA,34.6987722168134,NA,14.8709023786343,NA,NA,NA,14.8709023786343
"103",29000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.709023786343,NA,14.8709023786343,NA,NA,NA,NA
"104",37000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,22.3063535679515,NA,NA,NA,NA
"105",45000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,54.5266420549924,NA,49.5696745954477,NA,NA,NA,NA
"106",53000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.709023786343,NA,29.7418047572686,NA,NA,NA,NA
"107",77000,1398000,59.4836095145372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,171.015377354294,NA,NA,NA,NA,NA,NA
"108",85000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,29.7418047572686,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"109",93000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.063535679515,NA,NA,NA,NA,NA,NA
"110",101000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",109000,1398000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,66.9190607038543,NA,NA,NA,NA,NA,NA
