"","x","y","cell","Grass","Temperate Broadleaf Deciduous Tree","Temperate Needleleaf Deciduous Tree","Temperate Needleleaf Evergreen Tree","NA"
"279",-11000,1374000,4448,146,0,0,0,0
"280",-11000,1382000,4152,148,0,0,0,0
"281",-11000,1390000,3856,146,0,0,0,0
"282",-11000,1398000,3560,146,2,0,0,0
"283",-11000,1406000,3264,148,0,0,0,0
"284",-11000,1414000,2968,148,0,0,0,0
"285",-11000,1422000,2672,154,0,0,0,0
"286",-11000,1430000,2376,150,2,0,0,0
"287",-11000,1438000,2080,145,3,0,0,0
"288",-11000,1446000,1784,139,9,0,0,0
"289",-11000,1454000,1488,146,0,0,0,0
"290",-11000,1462000,1192,148,0,0,0,0
"291",-11000,1470000,896,66,0,0,0,0
"292",-3000,846000,23985,46,0,0,0,0
"293",-3000,854000,23689,148,0,0,0,0
"294",-3000,862000,23393,146,0,0,0,0
"295",-3000,870000,23097,146,0,0,0,0
"296",-3000,878000,22801,148,0,0,0,0
"297",-3000,886000,22505,150,0,0,0,0
"298",-3000,894000,22209,150,0,0,0,0
"299",-3000,902000,21913,144,0,0,0,0
"300",-3000,910000,21617,146,0,0,0,0
"301",-3000,918000,21321,150,2,0,0,0
"302",-3000,926000,21025,156,0,0,0,0
"303",-3000,934000,20729,144,2,0,0,0
"304",-3000,942000,20433,138,8,0,0,0
"305",-3000,950000,20137,136,10,0,0,0
"306",-3000,958000,19841,148,0,0,0,0
"307",-3000,966000,19545,150,0,0,0,0
"308",-3000,974000,19249,158,0,0,0,0
"309",-3000,982000,18953,146,0,0,0,0
"310",-3000,990000,18657,150,0,0,0,0
"311",-3000,998000,18361,166,0,0,0,0
"312",-3000,1006000,18065,170,0,0,0,0
"313",-3000,1014000,17769,144,2,0,0,0
"314",-3000,1022000,17473,144,0,0,0,0
"315",-3000,1030000,17177,146,0,0,0,0
"316",-3000,1038000,16881,141,7,0,0,0
"317",-3000,1046000,16585,154,0,0,0,0
"318",-3000,1054000,16289,154,0,0,0,0
"319",-3000,1062000,15993,156,0,0,0,0
"320",-3000,1070000,15697,148,0,0,0,0
"321",-3000,1078000,15401,146,0,0,0,0
"322",-3000,1086000,15105,150,0,0,0,0
"323",-3000,1094000,14809,150,0,0,0,0
"324",-3000,1102000,14513,170,0,0,0,0
"325",-3000,1110000,14217,160,0,0,0,0
"326",-3000,1118000,13921,156,0,0,0,0
"327",-3000,1126000,13625,154,0,0,0,0
"328",-3000,1134000,13329,164,0,0,0,0
"329",-3000,1142000,13033,158,0,0,0,0
"330",-3000,1150000,12737,154,0,0,0,0
"331",-3000,1158000,12441,136,0,0,0,0
"332",-3000,1166000,12145,150,0,0,0,0
"333",-3000,1174000,11849,150,0,0,0,0
"334",-3000,1182000,11553,154,0,0,0,0
"335",-3000,1190000,11257,150,0,0,0,0
"336",-3000,1198000,10961,142,11,0,1,0
"337",-3000,1206000,10665,158,0,0,0,0
"338",-3000,1214000,10369,158,0,0,0,0
"339",-3000,1222000,10073,146,0,0,0,0
"340",-3000,1230000,9777,147,3,0,0,0
"341",-3000,1238000,9481,150,0,0,0,0
"342",-3000,1246000,9185,146,0,0,0,0
"343",-3000,1254000,8889,150,0,0,0,0
"344",-3000,1262000,8593,160,0,0,0,0
"345",-3000,1270000,8297,148,4,0,0,0
"346",-3000,1278000,8001,148,2,0,0,0
"347",-3000,1286000,7705,148,0,0,0,0
"348",-3000,1294000,7409,146,0,0,0,0
"349",-3000,1302000,7113,160,0,0,0,0
"350",-3000,1310000,6817,152,0,0,0,0
"351",-3000,1318000,6521,148,0,0,0,0
"352",-3000,1326000,6225,137,9,0,0,0
"353",-3000,1334000,5929,136,10,0,0,0
"354",-3000,1342000,5633,150,0,0,0,0
"355",-3000,1350000,5337,148,0,0,0,0
"356",-3000,1358000,5041,150,0,0,0,0
"357",-3000,1366000,4745,148,0,0,0,0
"358",-3000,1374000,4449,150,2,0,0,0
"359",-3000,1382000,4153,152,0,0,0,0
"360",-3000,1390000,3857,144,4,0,0,0
"361",-3000,1398000,3561,144,2,0,0,0
"362",-3000,1406000,3265,140,10,0,0,0
"363",-3000,1414000,2969,152,0,0,0,0
"364",-3000,1422000,2673,146,0,0,0,0
"365",-3000,1430000,2377,148,0,0,0,0
"366",-3000,1438000,2081,144,4,0,0,0
"367",-3000,1446000,1785,148,4,0,0,0
"368",-3000,1454000,1489,140,6,0,0,0
"369",-3000,1462000,1193,148,0,0,0,0
"370",-3000,1470000,897,42,0,0,0,0
"371",5000,846000,23986,70,0,0,0,0
"372",5000,854000,23690,144,0,0,0,0
"373",5000,862000,23394,148,0,0,0,0
"374",5000,870000,23098,148,0,0,0,0
"375",5000,878000,22802,150,0,0,0,0
"376",5000,886000,22506,148,0,0,0,0
"377",5000,894000,22210,150,0,0,0,0
"378",5000,902000,21914,150,0,0,0,0
"379",5000,910000,21618,142,6,0,0,0
"380",5000,918000,21322,144,2,0,0,0
"381",5000,926000,21026,150,0,0,0,0
"382",5000,934000,20730,142,2,0,0,0
"383",5000,942000,20434,150,0,0,0,0
"384",5000,950000,20138,144,2,0,0,0
"385",5000,958000,19842,148,0,0,0,0
"386",5000,966000,19546,150,0,0,0,0
"387",5000,974000,19250,156,0,0,0,0
"388",5000,982000,18954,150,0,0,0,0
"389",5000,990000,18658,158,0,0,0,0
"390",5000,998000,18362,146,0,0,0,0
"391",5000,1006000,18066,166,0,0,0,0
"392",5000,1014000,17770,150,0,0,0,0
"393",5000,1022000,17474,147,1,0,0,0
"394",5000,1030000,17178,160,0,0,0,0
"395",5000,1038000,16882,148,2,0,0,0
"396",5000,1046000,16586,146,0,0,0,0
"397",5000,1054000,16290,144,4,0,0,0
"398",5000,1062000,15994,162,0,0,0,0
"399",5000,1070000,15698,150,0,0,0,0
"400",5000,1078000,15402,152,0,0,0,0
"401",5000,1086000,15106,146,0,0,0,0
"402",5000,1094000,14810,148,0,0,0,0
"403",5000,1102000,14514,160,0,0,0,0
"404",5000,1110000,14218,150,0,0,0,0
"405",5000,1118000,13922,144,0,0,0,0
"406",5000,1126000,13626,146,0,0,0,0
"407",5000,1134000,13330,152,0,0,0,0
"408",5000,1142000,13034,160,2,0,0,0
"409",5000,1150000,12738,149,1,0,0,0
"410",5000,1158000,12442,154,0,0,0,0
"411",5000,1166000,12146,150,2,0,0,0
"412",5000,1174000,11850,156,0,0,0,0
"413",5000,1182000,11554,146,0,0,0,0
"414",5000,1190000,11258,158,0,0,0,0
"415",5000,1198000,10962,150,0,0,0,0
"416",5000,1206000,10666,145,1,0,0,0
"417",5000,1214000,10370,148,0,0,0,0
"418",5000,1222000,10074,156,4,0,0,0
"419",5000,1230000,9778,157,1,0,0,0
"420",5000,1238000,9482,180,0,0,0,0
"421",5000,1246000,9186,162,0,0,0,0
"422",5000,1254000,8890,172,0,0,0,0
"423",5000,1262000,8594,170,0,0,0,0
"424",5000,1270000,8298,151,13,0,0,0
"425",5000,1278000,8002,148,0,0,0,0
"426",5000,1286000,7706,148,0,0,0,0
"427",5000,1294000,7410,158,0,0,0,0
"428",5000,1302000,7114,148,0,0,0,0
"429",5000,1310000,6818,146,0,0,0,0
"430",5000,1318000,6522,148,0,0,0,0
"431",5000,1326000,6226,127,23,0,0,0
"432",5000,1334000,5930,152,0,0,0,0
"433",5000,1342000,5634,146,0,0,0,0
"434",5000,1350000,5338,144,0,0,0,0
"435",5000,1358000,5042,150,0,0,0,0
"436",5000,1366000,4746,148,0,0,0,0
"437",5000,1374000,4450,142,2,0,0,0
"438",5000,1382000,4154,146,0,0,0,0
"439",5000,1390000,3858,138,8,0,0,0
"440",5000,1398000,3562,140,6,0,0,0
"441",5000,1406000,3266,148,0,0,0,0
"442",5000,1414000,2970,156,0,0,0,0
"443",5000,1422000,2674,148,0,0,0,0
"444",5000,1430000,2378,140,0,0,0,0
"445",5000,1438000,2082,132,22,0,0,0
"446",5000,1446000,1786,141,7,0,0,0
"447",5000,1454000,1490,142,4,0,0,0
"448",5000,1462000,1194,141,7,0,0,0
"449",5000,1470000,898,16,0,0,0,0
"450",13000,846000,23987,86,0,0,0,0
"451",13000,854000,23691,150,0,0,0,0
"452",13000,862000,23395,144,0,0,0,0
"453",13000,870000,23099,146,0,0,0,0
"454",13000,878000,22803,148,0,0,0,0
"455",13000,886000,22507,152,0,0,0,0
"456",13000,894000,22211,148,0,0,0,0
"457",13000,902000,21915,148,0,0,0,0
"458",13000,910000,21619,147,1,0,0,0
"459",13000,918000,21323,142,8,0,0,0
"460",13000,926000,21027,150,0,0,0,0
"461",13000,934000,20731,144,2,0,0,0
"462",13000,942000,20435,143,1,0,0,0
"463",13000,950000,20139,148,0,0,0,0
"464",13000,958000,19843,152,0,0,0,0
"465",13000,966000,19547,150,0,0,0,0
"466",13000,974000,19251,162,0,0,0,0
"467",13000,982000,18955,144,0,0,0,0
"468",13000,990000,18659,146,0,0,0,0
"469",13000,998000,18363,168,0,0,0,0
"470",13000,1006000,18067,152,2,0,0,0
"471",13000,1014000,17771,144,8,0,0,0
"472",13000,1022000,17475,148,0,0,0,0
"473",13000,1030000,17179,162,0,0,0,0
"474",13000,1038000,16883,146,0,0,0,0
"475",13000,1046000,16587,150,0,0,0,0
"476",13000,1054000,16291,148,0,0,0,0
"477",13000,1062000,15995,162,0,0,0,0
"478",13000,1070000,15699,150,0,0,0,0
"479",13000,1078000,15403,148,0,0,0,0
"480",13000,1086000,15107,152,0,0,0,0
"481",13000,1094000,14811,146,0,0,0,0
"482",13000,1102000,14515,158,0,0,0,0
"483",13000,1110000,14219,146,0,0,0,0
"484",13000,1118000,13923,150,0,0,0,0
"485",13000,1126000,13627,150,0,0,0,0
"486",13000,1134000,13331,150,0,0,0,0
"487",13000,1142000,13035,158,0,0,0,0
"488",13000,1150000,12739,148,2,0,0,0
"489",13000,1158000,12443,125,25,0,0,0
"490",13000,1166000,12147,121,27,0,0,0
"491",13000,1174000,11851,100,46,0,0,0
"492",13000,1182000,11555,132,16,0,0,0
"493",13000,1190000,11259,117,35,0,0,0
"494",13000,1198000,10963,100,56,0,0,0
"495",13000,1206000,10667,117,29,0,0,0
"496",13000,1214000,10371,105,37,0,0,0
"497",13000,1222000,10075,128,14,0,0,0
"498",13000,1230000,9779,148,0,0,0,0
"499",13000,1238000,9483,156,6,0,0,0
"500",13000,1246000,9187,150,0,0,0,0
"501",13000,1254000,8891,161,9,0,0,0
"502",13000,1262000,8595,124,0,0,0,0
"503",13000,1270000,8299,140,10,0,0,0
"504",13000,1278000,8003,152,0,0,0,0
"505",13000,1286000,7707,148,0,0,0,0
"506",13000,1294000,7411,154,2,0,0,0
"507",13000,1302000,7115,140,4,0,0,0
"508",13000,1310000,6819,152,0,0,0,0
"509",13000,1318000,6523,148,0,0,0,0
"510",13000,1326000,6227,130,12,0,0,0
"511",13000,1334000,5931,133,11,0,0,0
"512",13000,1342000,5635,158,0,0,0,0
"513",13000,1350000,5339,149,1,0,0,0
"514",13000,1358000,5043,150,0,0,0,0
"515",13000,1366000,4747,146,2,0,0,0
"516",13000,1374000,4451,146,0,0,0,0
"517",13000,1382000,4155,146,0,0,0,0
"518",13000,1390000,3859,150,0,0,0,0
"519",13000,1398000,3563,138,6,0,0,0
"520",13000,1406000,3267,150,0,0,0,0
"521",13000,1414000,2971,149,3,0,0,0
"522",13000,1422000,2675,140,6,0,0,0
"523",13000,1430000,2379,146,6,0,0,0
"524",13000,1438000,2083,116,30,0,0,0
"525",13000,1446000,1787,140,8,0,0,0
"526",13000,1454000,1491,82,68,0,0,0
"527",13000,1462000,1195,78,64,0,0,0
"528",21000,846000,23988,110,0,0,0,0
"529",21000,854000,23692,158,0,0,0,0
"530",21000,862000,23396,164,0,0,0,0
"531",21000,870000,23100,162,0,0,0,0
"532",21000,878000,22804,161,1,0,0,0
"533",21000,886000,22508,168,0,0,0,0
"534",21000,894000,22212,152,0,0,0,0
"535",21000,902000,21916,150,0,0,0,0
"536",21000,910000,21620,146,2,0,0,0
"537",21000,918000,21324,150,2,0,0,0
"538",21000,926000,21028,152,0,0,0,0
"539",21000,934000,20732,160,0,0,0,0
"540",21000,942000,20436,156,0,0,0,0
"541",21000,950000,20140,162,0,0,0,0
"542",21000,958000,19844,156,0,0,0,0
"543",21000,966000,19548,154,0,0,0,0
"544",21000,974000,19252,154,0,0,0,0
"545",21000,982000,18956,146,2,0,0,0
"546",21000,990000,18660,146,0,0,0,0
"547",21000,998000,18364,151,1,0,0,0
"548",21000,1006000,18068,138,12,0,0,0
"549",21000,1014000,17772,139,7,0,0,0
"550",21000,1022000,17476,148,4,0,0,0
"551",21000,1030000,17180,162,2,0,0,0
"552",21000,1038000,16884,150,0,0,0,0
"553",21000,1046000,16588,150,0,0,0,0
"554",21000,1054000,16292,150,0,0,0,0
"555",21000,1062000,15996,160,0,0,0,0
"556",21000,1070000,15700,148,0,0,0,0
"557",21000,1078000,15404,148,0,0,0,0
"558",21000,1086000,15108,148,0,0,0,0
"559",21000,1094000,14812,146,0,0,0,0
"560",21000,1102000,14516,157,1,0,0,0
"561",21000,1110000,14220,150,0,0,0,0
"562",21000,1118000,13924,146,4,0,0,0
"563",21000,1126000,13628,142,4,0,0,0
"564",21000,1134000,13332,158,2,0,0,0
"565",21000,1142000,13036,136,16,0,0,0
"566",21000,1150000,12740,125,21,0,0,0
"567",21000,1158000,12444,87,61,0,0,0
"568",21000,1166000,12148,69,77,0,0,0
"569",21000,1174000,11852,43,100,1,0,0
"570",21000,1182000,11556,58,88,0,0,0
"571",21000,1190000,11260,89,55,0,0,0
"572",21000,1198000,10964,73,91,0,0,0
"573",21000,1206000,10668,122,36,0,0,0
"574",21000,1214000,10372,40,80,0,0,0
"575",21000,1222000,10076,92,60,0,0,0
"576",21000,1230000,9780,146,8,0,0,0
"577",21000,1238000,9484,168,2,0,0,0
"578",21000,1246000,9188,150,4,0,0,0
"579",21000,1254000,8892,130,0,0,0,0
"580",21000,1262000,8596,3,1,0,0,0
"581",21000,1270000,8300,82,64,0,0,0
"582",21000,1278000,8004,136,12,0,0,0
"583",21000,1286000,7708,148,0,0,0,0
"584",21000,1294000,7412,119,39,0,0,0
"585",21000,1302000,7116,134,18,0,0,0
"586",21000,1310000,6820,146,0,0,0,0
"587",21000,1318000,6524,146,0,0,0,0
"588",21000,1326000,6228,150,0,0,0,0
"589",21000,1334000,5932,131,19,0,0,0
"590",21000,1342000,5636,132,16,0,0,0
"591",21000,1350000,5340,162,6,0,0,0
"592",21000,1358000,5044,156,0,0,0,0
"593",21000,1366000,4748,156,0,0,0,0
"594",21000,1374000,4452,148,0,0,0,0
